District,District (sri lankan districts provinces lat long population.csv),District.,Month,Province (sri lankan districts provinces lat long population.csv),Year,F1,Latitude (sri lankan districts provinces lat long population.csv),Longitude (sri lankan districts provinces lat long population.csv),No of complaints,Population
Ampara,Ampara,Ampara,,Eastern,2017-01-01,0,7.2914,81.6728,208,649402
Anuradhapura,Anuradhapura,Anuradhapura,,North Central,2017-01-01,1,8.335,80.4037,441,860575
Badulla,Badulla,Badulla,,Uva,2017-01-01,2,6.9934,81.055,198,815405
Batticaloa,Batticaloa,Batticaloa,,Eastern,2017-01-01,3,7.717,81.7056,179,526567
Colombo,Colombo,Colombo,,Western,2017-01-01,4,6.9271,79.8612,1302,2324344
Galle,Galle,Galle,,Southern,2017-01-01,5,6.0535,80.217,586,1024889
Gampaha,Gampaha,Gampaha,,Western,2017-01-01,6,7.084,79.8931,974,2290058
Hambanthota,Hambanthota,Hambanthota,,Southern,2017-01-01,7,6.1241,81.1185,310,594335
Jaffna,Jaffna,Jaffna,,Northern,2017-01-01,8,9.6615,80.0074,188,583378
Kalutara,Kalutara,Kalutara,,Western,2017-01-01,9,6.5854,79.9166,591,1221759
Kandy,Kandy,Kandy,,Central,2017-01-01,10,7.2906,80.6337,382,1374775
Kegalle,Kegalle,Kegalle,,Sabaragamuwa,2017-01-01,11,7.2513,80.3464,286,840648
Kilinochchi,Kilinochchi,Kilinochchi,,Northern,2017-01-01,12,9.3842,80.402,126,113510
Kurunegala,Kurunegala,Kurunegala,,North Western,2017-01-01,13,7.4863,80.0148,681,1618463
Mannar,Mannar,Mannar,,Northern,2017-01-01,14,8.981,79.9133,69,99548
Matale,Matale,Matale,,Central,2017-01-01,15,7.4675,80.6234,200,484531
Matara,Matara,Matara,,Southern,2017-01-01,16,5.9549,80.5353,316,809959
Monaragala,Monaragala,Monaragala,,Uva,2017-01-01,17,6.8906,81.2152,226,451058
Mullaitivu,Mullaitivu,Mullaitivu,,Northern,2017-01-01,18,9.2671,80.8061,132,92038
Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,,Central,2017-01-01,19,6.9708,80.7671,184,711644
Polonnaruwa,Polonnaruwa,Polonnaruwa,,North Central,2017-01-01,20,7.9403,81.0002,245,403068
Puttalam,Puttalam,Puttalam,,North Western,2017-01-01,21,8.0983,79.8283,403,762396
Ratnapura,Ratnapura,Ratnapura,,Sabaragamuwa,2017-01-01,22,6.6828,80.4,518,1096957
Trincomalee,Trincomalee,Trincomalee,,Eastern,2017-01-01,23,8.5874,81.2335,138,379541
Vavuniya,Vavuniya,Vavuniya,,Northern,2017-01-01,24,8.7519,80.5007,131,167591
Total,,Total,,,2017-01-01,25,,,9014,
Ampara,Ampara,Ampara,,Eastern,2018-01-01,26,7.2914,81.6728,229,649402
Anuradhapura,Anuradhapura,Anuradhapura,,North Central,2018-01-01,27,8.335,80.4037,434,860575
Badulla,Badulla,Badulla,,Uva,2018-01-01,28,6.9934,81.055,237,815405
Batticaloa,Batticaloa,Batticaloa,,Eastern,2018-01-01,29,7.717,81.7056,189,526567
Colombo,Colombo,Colombo,,Western,2018-01-01,30,6.9271,79.8612,1330,2324344
Galle,Galle,Galle,,Southern,2018-01-01,31,6.0535,80.217,617,1024889
Gampaha,Gampaha,Gampaha,,Western,2018-01-01,32,7.084,79.8931,1066,2290058
Hambanthota,Hambanthota,Hambanthota,,Southern,2018-01-01,33,6.1241,81.1185,361,594335
Jaffna,Jaffna,Jaffna,,Northern,2018-01-01,34,9.6615,80.0074,207,583378
Kalutara,Kalutara,Kalutara,,Western,2018-01-01,35,6.5854,79.9166,540,1221759
Kandy,Kandy,Kandy,,Central,2018-01-01,36,7.2906,80.6337,420,1374775
Kegalle,Kegalle,Kegalle,,Sabaragamuwa,2018-01-01,37,7.2513,80.3464,349,840648
Kilinochchi,Kilinochchi,Kilinochchi,,Northern,2018-01-01,38,9.3842,80.402,104,113510
Kurunegala,Kurunegala,Kurunegala,,North Western,2018-01-01,39,7.4863,80.0148,823,1618463
Mannar,Mannar,Mannar,,Northern,2018-01-01,40,8.981,79.9133,69,99548
Matale,Matale,Matale,,Central,2018-01-01,41,7.4675,80.6234,210,484531
Matara,Matara,Matara,,Southern,2018-01-01,42,5.9549,80.5353,346,809959
Monaragala,Monaragala,Monaragala,,Uva,2018-01-01,43,6.8906,81.2152,224,451058
Mullaitivu,Mullaitivu,Mullaitivu,,Northern,2018-01-01,44,9.2671,80.8061,98,92038
Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,,Central,2018-01-01,45,6.9708,80.7671,168,711644
Polonnaruwa,Polonnaruwa,Polonnaruwa,,North Central,2018-01-01,46,7.9403,81.0002,246,403068
Puttalam,Puttalam,Puttalam,,North Western,2018-01-01,47,8.0983,79.8283,440,762396
Ratnapura,Ratnapura,Ratnapura,,Sabaragamuwa,2018-01-01,48,6.6828,80.4,537,1096957
Trincomalee,Trincomalee,Trincomalee,,Eastern,2018-01-01,49,8.5874,81.2335,137,379541
Vavuniya,Vavuniya,Vavuniya,,Northern,2018-01-01,50,8.7519,80.5007,131,167591
Total,,Total,,,2018-01-01,51,,,9512,
Ampara,Ampara,Ampara,,Eastern,2019-01-01,52,7.2914,81.6728,201,649402
Anuradhapura,Anuradhapura,Anuradhapura,,North Central,2019-01-01,53,8.335,80.4037,487,860575
Badulla,Badulla,Badulla,,Uva,2019-01-01,54,6.9934,81.055,224,815405
Batticaloa,Batticaloa,Batticaloa,,Eastern,2019-01-01,55,7.717,81.7056,166,526567
Colombo,Colombo,Colombo,,Western,2019-01-01,56,6.9271,79.8612,1167,2324344
Galle,Galle,Galle,,Southern,2019-01-01,57,6.0535,80.217,537,1024889
Gampaha,Gampaha,Gampaha,,Western,2019-01-01,58,7.084,79.8931,888,2290058
Hambanthota,Hambanthota,Hambanthota,,Southern,2019-01-01,59,6.1241,81.1185,335,594335
Jaffna,Jaffna,Jaffna,,Northern,2019-01-01,60,9.6615,80.0074,175,583378
Kalutara,Kalutara,Kalutara,,Western,2019-01-01,61,6.5854,79.9166,478,1221759
Kandy,Kandy,Kandy,,Central,2019-01-01,62,7.2906,80.6337,390,1374775
Kegalle,Kegalle,Kegalle,,Sabaragamuwa,2019-01-01,63,7.2513,80.3464,288,840648
Kilinochchi,Kilinochchi,Kilinochchi,,Northern,2019-01-01,64,9.3842,80.402,141,113510
Kurunegala,Kurunegala,Kurunegala,,North Western,2019-01-01,65,7.4863,80.0148,726,1618463
Mannar,Mannar,Mannar,,Northern,2019-01-01,66,8.981,79.9133,80,99548
Matale,Matale,Matale,,Central,2019-01-01,67,7.4675,80.6234,140,484531
Matara,Matara,Matara,,Southern,2019-01-01,68,5.9549,80.5353,301,809959
Monaragala,Monaragala,Monaragala,,Uva,2019-01-01,69,6.8906,81.2152,221,451058
Mullaitivu,Mullaitivu,Mullaitivu,,Northern,2019-01-01,70,9.2671,80.8061,122,92038
Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,,Central,2019-01-01,71,6.9708,80.7671,177,711644
Polonnaruwa,Polonnaruwa,Polonnaruwa,,North Central,2019-01-01,72,7.9403,81.0002,229,403068
Puttalam,Puttalam,Puttalam,,North Western,2019-01-01,73,8.0983,79.8283,375,762396
Ratnapura,Ratnapura,Ratnapura,,Sabaragamuwa,2019-01-01,74,6.6828,80.4,471,1096957
Trincomalee,Trincomalee,Trincomalee,,Eastern,2019-01-01,75,8.5874,81.2335,133,379541
Vavuniya,Vavuniya,Vavuniya,,Northern,2019-01-01,76,8.7519,80.5007,106,167591
Total,,Total,,,2019-01-01,77,,,8558,
Colombo,Colombo,Colombo,,Western,2020-01-01,78,6.9271,79.8612,1134,2324344
Gampaha,Gampaha,Gampaha,,Western,2020-01-01,79,7.084,79.8931,944,2290058
Kurunegala,Kurunegala,Kurunegala,,North Western,2020-01-01,80,7.4863,80.0148,627,1618463
Kalutara,Kalutara,Kalutara,,Western,2020-01-01,81,6.5854,79.9166,467,1221759
Galle,Galle,Galle,,Southern,2020-01-01,82,6.0535,80.217,454,1024889
Ratnapura,Ratnapura,Ratnapura,,Sabaragamuwa,2020-01-01,83,6.6828,80.4,454,1096957
Anuradhapura,Anuradhapura,Anuradhapura,,North Central,2020-01-01,84,8.335,80.4037,404,860575
Puttalam,Puttalam,Puttalam,,North Western,2020-01-01,85,8.0983,79.8283,368,762396
Hambanthota,Hambanthota,Hambanthota,,Southern,2020-01-01,86,6.1241,81.1185,366,594335
Kandy,Kandy,Kandy,,Central,2020-01-01,87,7.2906,80.6337,363,1374775
Matara,Matara,Matara,,Southern,2020-01-01,88,5.9549,80.5353,301,809959
Kegalle,Kegalle,Kegalle,,Sabaragamuwa,2020-01-01,89,7.2513,80.3464,254,840648
Badulla,Badulla,Badulla,,Uva,2020-01-01,90,6.9934,81.055,243,815405
Monaragala,Monaragala,Monaragala,,Uva,2020-01-01,91,6.8906,81.2152,226,451058
Polonnaruwa,Polonnaruwa,Polonnaruwa,,North Central,2020-01-01,92,7.9403,81.0002,223,403068
Ampara,Ampara,Ampara,,Eastern,2020-01-01,93,7.2914,81.6728,192,649402
Jaffna,Jaffna,Jaffna,,Northern,2020-01-01,94,9.6615,80.0074,174,583378
Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,,Central,2020-01-01,95,6.9708,80.7671,160,711644
Batticaloa,Batticaloa,Batticaloa,,Eastern,2020-01-01,96,7.717,81.7056,159,526567
Matale,Matale,Matale,,Central,2020-01-01,97,7.4675,80.6234,136,484531
Trincomalee,Trincomalee,Trincomalee,,Eastern,2020-01-01,98,8.5874,81.2335,120,379541
Kilinochchi,Kilinochchi,Kilinochchi,,Northern,2020-01-01,99,9.3842,80.402,119,113510
Mullaitivu,Mullaitivu,Mullaitivu,,Northern,2020-01-01,100,9.2671,80.8061,118,92038
Vavuniya,Vavuniya,Vavuniya,,Northern,2020-01-01,101,8.7519,80.5007,92,167591
Mannar,Mannar,Mannar,,Northern,2020-01-01,102,8.981,79.9133,67,99548
Total,,Total,,,2020-01-01,103,,,8165,
Ampara,Ampara,Ampara,,Eastern,2021-01-01,104,7.2914,81.6728,230,649402
Anuradhapura,Anuradhapura,Anuradhapura,,North Central,2021-01-01,105,8.335,80.4037,563,860575
Badulla,Badulla,Badulla,,Uva,2021-01-01,106,6.9934,81.055,250,815405
Batticaloa,Batticaloa,Batticaloa,,Eastern,2021-01-01,107,7.717,81.7056,180,526567
Colombo,Colombo,Colombo,,Western,2021-01-01,108,6.9271,79.8612,2175,2324344
Galle,Galle,Galle,,Southern,2021-01-01,109,6.0535,80.217,624,1024889
Gampaha,Gampaha,Gampaha,,Western,2021-01-01,110,7.084,79.8931,1088,2290058
Hambanthota,Hambanthota,Hambanthota,,Southern,2021-01-01,111,6.1241,81.1185,392,594335
Jaffna,Jaffna,Jaffna,,Northern,2021-01-01,112,9.6615,80.0074,196,583378
Kalutara,Kalutara,Kalutara,,Western,2021-01-01,113,6.5854,79.9166,658,1221759
Kandy,Kandy,Kandy,,Central,2021-01-01,114,7.2906,80.6337,461,1374775
Kegalle,Kegalle,Kegalle,,Sabaragamuwa,2021-01-01,115,7.2513,80.3464,388,840648
Kilinochchi,Kilinochchi,Kilinochchi,,Northern,2021-01-01,116,9.3842,80.402,115,113510
Kurunegala,Kurunegala,Kurunegala,,North Western,2021-01-01,117,7.4863,80.0148,789,1618463
Mannar,Mannar,Mannar,,Northern,2021-01-01,118,8.981,79.9133,89,99548
Matale,Matale,Matale,,Central,2021-01-01,119,7.4675,80.6234,240,484531
Matara,Matara,Matara,,Southern,2021-01-01,120,5.9549,80.5353,416,809959
Monaragala,Monaragala,Monaragala,,Uva,2021-01-01,121,6.8906,81.2152,285,451058
Mullaitivu,Mullaitivu,Mullaitivu,,Northern,2021-01-01,122,9.2671,80.8061,133,92038
Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,,Central,2021-01-01,123,6.9708,80.7671,199,711644
Polonnaruwa,Polonnaruwa,Polonnaruwa,,North Central,2021-01-01,124,7.9403,81.0002,268,403068
Puttalam,Puttalam,Puttalam,,North Western,2021-01-01,125,8.0983,79.8283,463,762396
Ratnapura,Ratnapura,Ratnapura,,Sabaragamuwa,2021-01-01,126,6.6828,80.4,693,1096957
Trincomalee,Trincomalee,Trincomalee,,Eastern,2021-01-01,127,8.5874,81.2335,173,379541
Vavuniya,Vavuniya,Vavuniya,,Northern,2021-01-01,128,8.7519,80.5007,119,167591
Total,,Total,,,2021-01-01,129,,,11187,
Ampara,Ampara,Ampara,,Eastern,2022-01-01,130,7.2914,81.6728,234,649402
Anuradhapura,Anuradhapura,Anuradhapura,,North Central,2022-01-01,131,8.335,80.4037,597,860575
Badulla,Badulla,Badulla,,Uva,2022-01-01,132,6.9934,81.055,277,815405
Batticaloa,Batticaloa,Batticaloa,,Eastern,2022-01-01,133,7.717,81.7056,160,526567
Colombo,Colombo,Colombo,,Western,2022-01-01,134,6.9271,79.8612,1708,2324344
Galle,Galle,Galle,,Southern,2022-01-01,135,6.0535,80.217,703,1024889
Gampaha,Gampaha,Gampaha,,Western,2022-01-01,136,7.084,79.8931,1027,2290058
Hambanthota,Hambanthota,Hambanthota,,Southern,2022-01-01,137,6.1241,81.1185,395,594335
Jaffna,Jaffna,Jaffna,,Northern,2022-01-01,138,9.6615,80.0074,166,583378
Kalutara,Kalutara,Kalutara,,Western,2022-01-01,139,6.5854,79.9166,585,1221759
Kandy,Kandy,Kandy,,Central,2022-01-01,140,7.2906,80.6337,458,1374775
Kegalle,Kegalle,Kegalle,,Sabaragamuwa,2022-01-01,141,7.2513,80.3464,344,840648
Kilinochchi,Kilinochchi,Kilinochchi,,Northern,2022-01-01,142,9.3842,80.402,87,113510
Kurunegala,Kurunegala,Kurunegala,,North Western,2022-01-01,143,7.4863,80.0148,791,1618463
Mannar,Mannar,Mannar,,Northern,2022-01-01,144,8.981,79.9133,56,99548
Matale,Matale,Matale,,Central,2022-01-01,145,7.4675,80.6234,239,484531
Matara,Matara,Matara,,Southern,2022-01-01,146,5.9549,80.5353,388,809959
Monaragala,Monaragala,Monaragala,,Uva,2022-01-01,147,6.8906,81.2152,284,451058
Mullaitivu,Mullaitivu,Mullaitivu,,Northern,2022-01-01,148,9.2671,80.8061,104,92038
Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,,Central,2022-01-01,149,6.9708,80.7671,195,711644
Polonnaruwa,Polonnaruwa,Polonnaruwa,,North Central,2022-01-01,150,7.9403,81.0002,263,403068
Puttalam,Puttalam,Puttalam,,North Western,2022-01-01,151,8.0983,79.8283,435,762396
Ratnapura,Ratnapura,Ratnapura,,Sabaragamuwa,2022-01-01,152,6.6828,80.4,652,1096957
Trincomalee,Trincomalee,Trincomalee,,Eastern,2022-01-01,153,8.5874,81.2335,156,379541
Vavuniya,Vavuniya,Vavuniya,,Northern,2022-01-01,154,8.7519,80.5007,81,167591
All Island,,Unknown,,,2022-01-01,155,,,112,
Total,,Total,,,2022-01-01,156,,,10497,
Ampara,Ampara,Ampara,January,Eastern,2023-01-01,157,7.2914,81.6728,20,649402
Anuradhapura,Anuradhapura,Anuradhapura,January,North Central,2023-01-01,158,8.335,80.4037,34,860575
Badulla,Badulla,Badulla,January,Uva,2023-01-01,159,6.9934,81.055,16,815405
Batticaloa,Batticaloa,Batticaloa,January,Eastern,2023-01-01,160,7.717,81.7056,12,526567
Colombo,Colombo,Colombo,January,Western,2023-01-01,161,6.9271,79.8612,112,2324344
Galle,Galle,Galle,January,Southern,2023-01-01,162,6.0535,80.217,42,1024889
Gampaha,Gampaha,Gampaha,January,Western,2023-01-01,163,7.084,79.8931,74,2290058
Hambanthota,Hambanthota,Hambanthota,January,Southern,2023-01-01,164,6.1241,81.1185,24,594335
Jaffna,Jaffna,Jaffna,January,Northern,2023-01-01,165,9.6615,80.0074,10,583378
Kalutara,Kalutara,Kalutara,January,Western,2023-01-01,166,6.5854,79.9166,48,1221759
Kandy,Kandy,Kandy,January,Central,2023-01-01,167,7.2906,80.6337,39,1374775
Kegalle,Kegalle,Kegalle,January,Sabaragamuwa,2023-01-01,168,7.2513,80.3464,23,840648
Kilinochchi,Kilinochchi,Kilinochchi,January,Northern,2023-01-01,169,9.3842,80.402,2,113510
Kurunegala,Kurunegala,Kurunegala,January,North Western,2023-01-01,170,7.4863,80.0148,47,1618463
Mannar,Mannar,Mannar,January,Northern,2023-01-01,171,8.981,79.9133,1,99548
Matale,Matale,Matale,January,Central,2023-01-01,172,7.4675,80.6234,15,484531
Matara,Matara,Matara,January,Southern,2023-01-01,173,5.9549,80.5353,39,809959
Monaragala,Monaragala,Monaragala,January,Uva,2023-01-01,174,6.8906,81.2152,12,451058
Mullaitivu,Mullaitivu,Mullaitivu,January,Northern,2023-01-01,175,9.2671,80.8061,6,92038
Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,January,Central,2023-01-01,176,6.9708,80.7671,9,711644
Polonnaruwa,Polonnaruwa,Polonnaruwa,January,North Central,2023-01-01,177,7.9403,81.0002,17,403068
Puttalam,Puttalam,Puttalam,January,North Western,2023-01-01,178,8.0983,79.8283,34,762396
Ratnapura,Ratnapura,Ratnapura,January,Sabaragamuwa,2023-01-01,179,6.6828,80.4,43,1096957
Trincomalee,Trincomalee,Trincomalee,January,Eastern,2023-01-01,180,8.5874,81.2335,13,379541
Vavuniya,Vavuniya,Vavuniya,January,Northern,2023-01-01,181,8.7519,80.5007,6,167591
Unknown,,Unknown,January,,2023-01-01,182,,,63,
,,,January,,2023-01-01,183,,,761,
Ampara,Ampara,Ampara,February,Eastern,2023-01-01,184,7.2914,81.6728,17,649402
Anuradhapura,Anuradhapura,Anuradhapura,February,North Central,2023-01-01,185,8.335,80.4037,47,860575
Badulla,Badulla,Badulla,February,Uva,2023-01-01,186,6.9934,81.055,21,815405
Batticaloa,Batticaloa,Batticaloa,February,Eastern,2023-01-01,187,7.717,81.7056,15,526567
Colombo,Colombo,Colombo,February,Western,2023-01-01,188,6.9271,79.8612,100,2324344
Galle,Galle,Galle,February,Southern,2023-01-01,189,6.0535,80.217,29,1024889
Gampaha,Gampaha,Gampaha,February,Western,2023-01-01,190,7.084,79.8931,73,2290058
Hambanthota,Hambanthota,Hambanthota,February,Southern,2023-01-01,191,6.1241,81.1185,30,594335
Jaffna,Jaffna,Jaffna,February,Northern,2023-01-01,192,9.6615,80.0074,13,583378
Kalutara,Kalutara,Kalutara,February,Western,2023-01-01,193,6.5854,79.9166,32,1221759
Kandy,Kandy,Kandy,February,Central,2023-01-01,194,7.2906,80.6337,24,1374775
Kegalle,Kegalle,Kegalle,February,Sabaragamuwa,2023-01-01,195,7.2513,80.3464,32,840648
Kilinochchi,Kilinochchi,Kilinochchi,February,Northern,2023-01-01,196,9.3842,80.402,3,113510
Kurunegala,Kurunegala,Kurunegala,February,North Western,2023-01-01,197,7.4863,80.0148,56,1618463
Mannar,Mannar,Mannar,February,Northern,2023-01-01,198,8.981,79.9133,3,99548
Matale,Matale,Matale,February,Central,2023-01-01,199,7.4675,80.6234,14,484531
Matara,Matara,Matara,February,Southern,2023-01-01,200,5.9549,80.5353,15,809959
Monaragala,Monaragala,Monaragala,February,Uva,2023-01-01,201,6.8906,81.2152,23,451058
Mullaitivu,Mullaitivu,Mullaitivu,February,Northern,2023-01-01,202,9.2671,80.8061,5,92038
Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,February,Central,2023-01-01,203,6.9708,80.7671,12,711644
Polonnaruwa,Polonnaruwa,Polonnaruwa,February,North Central,2023-01-01,204,7.9403,81.0002,18,403068
Puttalam,Puttalam,Puttalam,February,North Western,2023-01-01,205,8.0983,79.8283,30,762396
Ratnapura,Ratnapura,Ratnapura,February,Sabaragamuwa,2023-01-01,206,6.6828,80.4,44,1096957
Trincomalee,Trincomalee,Trincomalee,February,Eastern,2023-01-01,207,8.5874,81.2335,13,379541
Vavuniya,Vavuniya,Vavuniya,February,Northern,2023-01-01,208,8.7519,80.5007,6,167591
Unknown,,Unknown,February,,2023-01-01,209,,,28,
,,,February,,2023-01-01,210,,,703,
Ampara,Ampara,Ampara,March,Eastern,2023-01-01,211,7.2914,81.6728,22,649402
Anuradhapura,Anuradhapura,Anuradhapura,March,North Central,2023-01-01,212,8.335,80.4037,59,860575
Badulla,Badulla,Badulla,March,Uva,2023-01-01,213,6.9934,81.055,28,815405
Batticaloa,Batticaloa,Batticaloa,March,Eastern,2023-01-01,214,7.717,81.7056,15,526567
Colombo,Colombo,Colombo,March,Western,2023-01-01,215,6.9271,79.8612,143,2324344
Galle,Galle,Galle,March,Southern,2023-01-01,216,6.0535,80.217,54,1024889
Gampaha,Gampaha,Gampaha,March,Western,2023-01-01,217,7.084,79.8931,92,2290058
Hambanthota,Hambanthota,Hambanthota,March,Southern,2023-01-01,218,6.1241,81.1185,40,594335
Jaffna,Jaffna,Jaffna,March,Northern,2023-01-01,219,9.6615,80.0074,6,583378
Kalutara,Kalutara,Kalutara,March,Western,2023-01-01,220,6.5854,79.9166,70,1221759
Kandy,Kandy,Kandy,March,Central,2023-01-01,221,7.2906,80.6337,53,1374775
Kegalle,Kegalle,Kegalle,March,Sabaragamuwa,2023-01-01,222,7.2513,80.3464,29,840648
Kilinochchi,Kilinochchi,Kilinochchi,March,Northern,2023-01-01,223,9.3842,80.402,6,113510
Kurunegala,Kurunegala,Kurunegala,March,North Western,2023-01-01,224,7.4863,80.0148,96,1618463
Mannar,Mannar,Mannar,March,Northern,2023-01-01,225,8.981,79.9133,8,99548
Matale,Matale,Matale,March,Central,2023-01-01,226,7.4675,80.6234,25,484531
Matara,Matara,Matara,March,Southern,2023-01-01,227,5.9549,80.5353,25,809959
Monaragala,Monaragala,Monaragala,March,Uva,2023-01-01,228,6.8906,81.2152,37,451058
Mullaitivu,Mullaitivu,Mullaitivu,March,Northern,2023-01-01,229,9.2671,80.8061,8,92038
Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,March,Central,2023-01-01,230,6.9708,80.7671,23,711644
Polonnaruwa,Polonnaruwa,Polonnaruwa,March,North Central,2023-01-01,231,7.9403,81.0002,28,403068
Puttalam,Puttalam,Puttalam,March,North Western,2023-01-01,232,8.0983,79.8283,34,762396
Ratnapura,Ratnapura,Ratnapura,March,Sabaragamuwa,2023-01-01,233,6.6828,80.4,67,1096957
Trincomalee,Trincomalee,Trincomalee,March,Eastern,2023-01-01,234,8.5874,81.2335,6,379541
Vavuniya,Vavuniya,Vavuniya,March,Northern,2023-01-01,235,8.7519,80.5007,6,167591
Unknown,,Unknown,March,,2023-01-01,236,,,46,
,,,March,,2023-01-01,237,,,1026,
Ampara,Ampara,Ampara,April,Eastern,2023-01-01,238,7.2914,81.6728,11,649402
Anuradhapura,Anuradhapura,Anuradhapura,April,North Central,2023-01-01,239,8.335,80.4037,32,860575
Badulla,Badulla,Badulla,April,Uva,2023-01-01,240,6.9934,81.055,16,815405
Batticaloa,Batticaloa,Batticaloa,April,Eastern,2023-01-01,241,7.717,81.7056,12,526567
Colombo,Colombo,Colombo,April,Western,2023-01-01,242,6.9271,79.8612,75,2324344
Galle,Galle,Galle,April,Southern,2023-01-01,243,6.0535,80.217,30,1024889
Gampaha,Gampaha,Gampaha,April,Western,2023-01-01,244,7.084,79.8931,54,2290058
Hambanthota,Hambanthota,Hambanthota,April,Southern,2023-01-01,245,6.1241,81.1185,16,594335
Jaffna,Jaffna,Jaffna,April,Northern,2023-01-01,246,9.6615,80.0074,7,583378
Kalutara,Kalutara,Kalutara,April,Western,2023-01-01,247,6.5854,79.9166,28,1221759
Kandy,Kandy,Kandy,April,Central,2023-01-01,248,7.2906,80.6337,33,1374775
Kegalle,Kegalle,Kegalle,April,Sabaragamuwa,2023-01-01,249,7.2513,80.3464,15,840648
Kilinochchi,Kilinochchi,Kilinochchi,April,Northern,2023-01-01,250,9.3842,80.402,4,113510
Kurunegala,Kurunegala,Kurunegala,April,North Western,2023-01-01,251,7.4863,80.0148,47,1618463
Mannar,Mannar,Mannar,April,Northern,2023-01-01,252,8.981,79.9133,4,99548
Matale,Matale,Matale,April,Central,2023-01-01,253,7.4675,80.6234,10,484531
Matara,Matara,Matara,April,Southern,2023-01-01,254,5.9549,80.5353,17,809959
