Year,Month,Type of abuse,No of complaints
2023,June,360B - Sexual Exploitation of Children,1.0
2023,June,360D - Offences Related to Adoption,0.0
2023,June,364A - Incest,0.0
2023,June,363 - Rape,4.0
2023,June,Juvenile Delinquency,34.0
2023,June,352 - Kidnapping from Lawful Guardianship,4.0
2023,June,360C - Trafficking,4.0
2023,June,360A - Procreation,1.0
2023,June,288B - Trafficking Restricted Articles/Drugs,3.0
2023,June,345 - Sexual Harassment,42.0
2023,June,288A - Hiring or Employing Children to Act as Procurers for Sexual Intercourse,0.0
2023,June,310 - Cause Hurt,23.0
2023,June,351 - Kidnapping from Sri Lanka,0.0
2023,June,356 - Kidnapping or Abducting with Intent Secretly and Wrongfully to Confine a Person,5.0
2023,June,"71 - CYPO: Neglect of Children, Cruelty",19.0
2023,June,CYPO 20 - Prohibition of Publication of Certain Matters,0.0
2023,June,CYPO 72 - Seduction or Prostitution of Girl Under 16 Years,2.0
2023,June,76 - CYPO: Sale of Tobacco to Person Under 16 Years,0.0
2023,June,CYPO 77 - Preventing Children from Receiving Education,2.0
2023,June,286A - Obscene Publications,0.0
2023,June,"358A - Serfdom, Slavery, Child Soldiers",0.0
2023,June,365A - Gross Indecency,0.0
2023,June,286C - Duty to Inform of Use of Premises for Child Abuse,0.0
2023,June,360E - Soliciting a Child,0.0
2023,June,365C - Publication of Sexual Abuse,0.0
2023,June,CYPO 11 - Restrictions on Reports of Proceedings in Juvenile Courts,0.0
2023,June,,888.0
2023,July,353 - Abduction,16.0
2023,July,288 - Procuring to Beg,28.0
2023,July,35 - CYPO: Child or Young Person in Need of Care & Protection,225.0
2023,July,Child Labor,19.0
2023,July,Compulsory Education,209.0
2023,July,308A - Cruelty to Children,202.0
2023,July,365B - Grave Sexual Abuse,37.0
2023,July,311 - Grievous Hurt,23.0
2023,July,360B - Sexual Exploitation of Children,0.0
2023,July,360D - Offences Related to Adoption,2.0
2023,July,364A - Incest,2.0
2023,July,363 - Rape,7.0
2023,July,Juvenile Delinquency,34.0
2023,July,352 - Kidnapping from Lawful Guardianship,3.0
2023,July,360C - Trafficking,5.0
2023,July,360A - Procreation,1.0
2023,July,288B - Trafficking Restricted Articles/Drugs,2.0
2023,July,345 - Sexual Harassment,46.0
2023,July,288A - Hiring or Employing Children to Act as Procurers for Sexual Intercourse,1.0
2023,July,310 - Cause Hurt,19.0
2023,July,351 - Kidnapping from Sri Lanka,0.0
2023,July,356 - Kidnapping or Abducting with Intent Secretly and Wrongfully to Confine a Person,0.0
2023,July,"71 - CYPO: Neglect of Children, Cruelty",17.0
2023,July,CYPO 20 - Prohibition of Publication of Certain Matters,0.0
2023,July,CYPO 72 - Seduction or Prostitution of Girl Under 16 Years,0.0
2023,July,76 - CYPO: Sale of Tobacco to Person Under 16 Years,1.0
2023,July,CYPO 77 - Preventing Children from Receiving Education,0.0
2023,July,286A - Obscene Publications,0.0
2023,July,"358A - Serfdom, Slavery, Child Soldiers",0.0
2023,July,365A - Gross Indecency,0.0
2023,July,286C - Duty to Inform of Use of Premises for Child Abuse,0.0
2023,July,360E - Soliciting a Child,0.0
2023,July,365C - Publication of Sexual Abuse,0.0
2023,July,CYPO 11 - Restrictions on Reports of Proceedings in Juvenile Courts,0.0
2023,July,,899.0
2023,August,353 - Abduction,11.0
2023,August,288 - Procuring to Beg,21.0
2023,August,35 - CYPO: Child or Young Person in Need of Care & Protection,204.0
2023,August,Child Labor,14.0
2023,August,Compulsory Education,147.0
2023,August,308A - Cruelty to Children,185.0
2023,August,365B - Grave Sexual Abuse,31.0
2023,August,311 - Grievous Hurt,18.0
2023,August,360B - Sexual Exploitation of Children,0.0
2023,August,360D - Offences Related to Adoption,0.0
2023,August,364A - Incest,0.0
2023,August,363 - Rape,1.0
2023,August,Juvenile Delinquency,33.0
2023,August,352 - Kidnapping from Lawful Guardianship,7.0
2023,August,360C - Trafficking,2.0
2023,August,360A - Procreation,2.0
2023,August,288B - Trafficking Restricted Articles/Drugs,3.0
2023,August,345 - Sexual Harassment,30.0
2023,August,288A - Hiring or Employing Children to Act as Procurers for Sexual Intercourse,0.0
2023,August,310 - Cause Hurt,7.0
2023,August,351 - Kidnapping from Sri Lanka,1.0
2023,August,356 - Kidnapping or Abducting with Intent Secretly and Wrongfully to Confine a Person,0.0
2023,August,"71 - CYPO: Neglect of Children, Cruelty",8.0
2023,August,CYPO 20 - Prohibition of Publication of Certain Matters,0.0
2023,August,CYPO 72 - Seduction or Prostitution of Girl Under 16 Years,1.0
2023,August,76 - CYPO: Sale of Tobacco to Person Under 16 Years,0.0
2023,August,CYPO 77 - Preventing Children from Receiving Education,0.0
2023,August,286A - Obscene Publications,2.0
2023,August,"358A - Serfdom, Slavery, Child Soldiers",0.0
2023,August,365A - Gross Indecency,0.0
2023,August,286C - Duty to Inform of Use of Premises for Child Abuse,0.0
2023,August,360E - Soliciting a Child,0.0
2023,August,365C - Publication of Sexual Abuse,0.0
2023,August,CYPO 11 - Restrictions on Reports of Proceedings in Juvenile Courts,0.0
2023,August,,728.0
2023,September,353 - Abduction,14.0
2023,September,288 - Procuring to Beg,25.0
2023,September,35 - CYPO: Child or Young Person in Need of Care & Protection,185.0
2023,September,Child Labor,15.0
2023,September,Compulsory Education,183.0
2023,September,308A - Cruelty to Children,170.0
2023,September,365B - Grave Sexual Abuse,24.0
2023,September,311 - Grievous Hurt,19.0
2023,September,360B - Sexual Exploitation of Children,1.0
2023,September,360D - Offences Related to Adoption,0.0
2023,September,364A - Incest,1.0
2023,September,363 - Rape,5.0
2023,September,Juvenile Delinquency,12.0
2023,September,352 - Kidnapping from Lawful Guardianship,8.0
2023,September,360C - Trafficking,5.0
2023,September,360A - Procreation,1.0
2023,September,288B - Trafficking Restricted Articles/Drugs,0.0
2023,September,345 - Sexual Harassment,33.0
2023,September,288A - Hiring or Employing Children to Act as Procurers for Sexual Intercourse,0.0
2023,September,310 - Cause Hurt,15.0
2023,September,351 - Kidnapping from Sri Lanka,0.0
2023,September,356 - Kidnapping or Abducting with Intent Secretly and Wrongfully to Confine a Person,1.0
2023,September,"71 - CYPO: Neglect of Children, Cruelty",34.0
2023,September,CYPO 20 - Prohibition of Publication of Certain Matters,0.0
2023,September,CYPO 72 - Seduction or Prostitution of Girl Under 16 Years,2.0
2023,September,76 - CYPO: Sale of Tobacco to Person Under 16 Years,0.0
2023,September,CYPO 77 - Preventing Children from Receiving Education,0.0
2023,September,286A - Obscene Publications,0.0
2023,September,"358A - Serfdom, Slavery, Child Soldiers",0.0
2023,September,365A - Gross Indecency,0.0
2023,September,286C - Duty to Inform of Use of Premises for Child Abuse,0.0
2023,September,360E - Soliciting a Child,0.0
2023,September,365C - Publication of Sexual Abuse,0.0
2023,September,CYPO 11 - Restrictions on Reports of Proceedings in Juvenile Courts,0.0
2023,September,,753.0
2023,October,353 - Abduction,10.0
2023,October,288 - Procuring to Beg,30.0
2023,October,35 - CYPO: Child or Young Person in Need of Care & Protection,224.0
2023,October,Child Labor,15.0
2023,October,Compulsory Education,181.0
2023,October,308A - Cruelty to Children,182.0
2023,October,365B - Grave Sexual Abuse,31.0
2023,October,311 - Grievous Hurt,28.0
2023,October,360B - Sexual Exploitation of Children,1.0
2023,October,360D - Offences Related to Adoption,0.0
2023,October,364A - Incest,1.0
2023,October,363 - Rape,1.0
2023,October,Juvenile Delinquency,25.0
2023,October,352 - Kidnapping from Lawful Guardianship,6.0
2023,October,360C - Trafficking,1.0
2023,October,360A - Procreation,2.0
2023,October,288B - Trafficking Restricted Articles/Drugs,2.0
2023,October,345 - Sexual Harassment,43.0
2023,October,288A - Hiring or Employing Children to Act as Procurers for Sexual Intercourse,0.0
2023,October,310 - Cause Hurt,6.0
2023,October,351 - Kidnapping from Sri Lanka,0.0
2023,October,356 - Kidnapping or Abducting with Intent Secretly and Wrongfully to Confine a Person,0.0
2023,October,"71 - CYPO: Neglect of Children, Cruelty",47.0
2023,October,CYPO 20 - Prohibition of Publication of Certain Matters,0.0
2023,October,CYPO 72 - Seduction or Prostitution of Girl Under 16 Years,0.0
2023,October,76 - CYPO: Sale of Tobacco to Person Under 16 Years,0.0
2023,October,CYPO 77 - Preventing Children from Receiving Education,2.0
2023,October,286A - Obscene Publications,0.0
2023,October,"358A - Serfdom, Slavery, Child Soldiers",0.0
2023,October,365A - Gross Indecency,0.0
2023,October,286C - Duty to Inform of Use of Premises for Child Abuse,0.0
2023,October,360E - Soliciting a Child,1.0
2023,October,365C - Publication of Sexual Abuse,0.0
2023,October,CYPO 11 - Restrictions on Reports of Proceedings in Juvenile Courts,0.0
2023,October,,839.0
2023,November,353 - Abduction,24.0
2023,November,288 - Procuring to Beg,27.0
2023,November,35 - CYPO: Child or Young Person in Need of Care & Protection,208.0
2023,November,Child Labor,19.0
2023,November,Compulsory Education,202.0
2023,November,308A - Cruelty to Children,217.0
2023,November,365B - Grave Sexual Abuse,39.0
2023,November,311 - Grievous Hurt,21.0
2023,November,360B - Sexual Exploitation of Children,0.0
2023,November,360D - Offences Related to Adoption,0.0
2023,November,364A - Incest,0.0
2023,November,363 - Rape,3.0
2023,November,Juvenile Delinquency,27.0
2023,November,352 - Kidnapping from Lawful Guardianship,1.0
2023,November,360C - Trafficking,5.0
2023,November,360A - Procreation,3.0
2023,November,288B - Trafficking Restricted Articles/Drugs,1.0
2023,November,345 - Sexual Harassment,39.0
2023,November,288A - Hiring or Employing Children to Act as Procurers for Sexual Intercourse,1.0
2023,November,310 - Cause Hurt,7.0
2023,November,351 - Kidnapping from Sri Lanka,0.0
2023,November,356 - Kidnapping or Abducting with Intent Secretly and Wrongfully to Confine a Person,1.0
2023,November,"71 - CYPO: Neglect of Children, Cruelty",32.0
2023,November,CYPO 20 - Prohibition of Publication of Certain Matters,0.0
2023,November,CYPO 72 - Seduction or Prostitution of Girl Under 16 Years,0.0
2023,November,76 - CYPO: Sale of Tobacco to Person Under 16 Years,1.0
2023,November,CYPO 77 - Preventing Children from Receiving Education,0.0
2023,November,286A - Obscene Publications,1.0
2023,November,"358A - Serfdom, Slavery, Child Soldiers",0.0
2023,November,365A - Gross Indecency,0.0
2023,November,286C - Duty to Inform of Use of Premises for Child Abuse,0.0
2023,November,360E - Soliciting a Child,0.0
2023,November,365C - Publication of Sexual Abuse,0.0
2023,November,CYPO 11 - Restrictions on Reports of Proceedings in Juvenile Courts,1.0
2023,November,,880.0
2023,December,353 - Abduction,22.0
2023,December,288 - Procuring to Beg,24.0
2023,December,35 - CYPO: Child or Young Person in Need of Care & Protection,259.0
2023,December,Child Labor,13.0
2023,December,Compulsory Education,157.0
2023,December,308A - Cruelty to Children,192.0
2023,December,365B - Grave Sexual Abuse,37.0
2023,December,311 - Grievous Hurt,17.0
2023,December,360B - Sexual Exploitation of Children,0.0
2023,December,360D - Offences Related to Adoption,0.0
2023,December,364A - Incest,0.0
2023,December,363 - Rape,3.0
2023,December,Juvenile Delinquency,16.0
2023,December,352 - Kidnapping from Lawful Guardianship,10.0
2023,December,360C - Trafficking,1.0
2023,December,360A - Procreation,5.0
2023,December,288B - Trafficking Restricted Articles/Drugs,4.0
2023,December,345 - Sexual Harassment,48.0
2023,December,288A - Hiring or Employing Children to Act as Procurers for Sexual Intercourse,3.0
2023,December,310 - Cause Hurt,11.0
2023,December,351 - Kidnapping from Sri Lanka,0.0
2023,December,356 - Kidnapping or Abducting with Intent Secretly and Wrongfully to Confine a Person,0.0
2023,December,"71 - CYPO: Neglect of Children, Cruelty",21.0
2023,December,CYPO 20 - Prohibition of Publication of Certain Matters,0.0
2023,December,CYPO 72 - Seduction or Prostitution of Girl Under 16 Years,1.0
2023,December,76 - CYPO: Sale of Tobacco to Person Under 16 Years,0.0
2023,December,CYPO 77 - Preventing Children from Receiving Education,0.0
2023,December,286A - Obscene Publications,2.0
2023,December,"358A - Serfdom, Slavery, Child Soldiers",0.0
2023,December,365A - Gross Indecency,0.0
2023,December,286C - Duty to Inform of Use of Premises for Child Abuse,0.0
2023,December,360E - Soliciting a Child,0.0
2023,December,365C - Publication of Sexual Abuse,0.0
2023,December,CYPO 11 - Restrictions on Reports of Proceedings in Juvenile Courts,0.0
2023,December,,846.0
2023,Total,353 - Abduction,217.0
2023,Total,288 - Procuring to Beg,323.0
2023,Total,35 - CYPO: Child or Young Person in Need of Care & Protection,2526.0
2023,Total,Child Labor,181.0
2023,Total,Compulsory Education,1922.0
2023,Total,308A - Cruelty to Children,2238.0
2023,Total,365B - Grave Sexual Abuse,403.0
2023,Total,311 - Grievous Hurt,266.0
2023,Total,360B - Sexual Exploitation of Children,8.0
2023,Total,360D - Offences Related to Adoption,3.0
2023,Total,364A - Incest,7.0
2023,Total,363 - Rape,50.0
2023,Total,Juvenile Delinquency,310.0
2023,Total,352 - Kidnapping from Lawful Guardianship,58.0
2023,Total,360C - Trafficking,32.0
2023,Total,360A - Procreation,20.0
2023,Total,288B - Trafficking Restricted Articles/Drugs,27.0
2023,Total,345 - Sexual Harassment,469.0
2023,Total,288A - Hiring or Employing Children to Act as Procurers for Sexual Intercourse,9.0
2023,Total,310 - Cause Hurt,166.0
2023,Total,351 - Kidnapping from Sri Lanka,4.0
2023,Total,356 - Kidnapping or Abducting with Intent Secretly and Wrongfully to Confine a Person,11.0
2023,Total,"71 - CYPO: Neglect of Children, Cruelty",383.0
2023,Total,CYPO 20 - Prohibition of Publication of Certain Matters,1.0
2023,Total,CYPO 72 - Seduction or Prostitution of Girl Under 16 Years,9.0
2023,Total,76 - CYPO: Sale of Tobacco to Person Under 16 Years,4.0
2023,Total,CYPO 77 - Preventing Children from Receiving Education,8.0
2023,Total,286A - Obscene Publications,6.0
2023,Total,"358A - Serfdom, Slavery, Child Soldiers",4.0
2023,Total,365A - Gross Indecency,1.0
2023,Total,286C - Duty to Inform of Use of Premises for Child Abuse,1.0
2023,Total,360E - Soliciting a Child,1.0
2023,Total,365C - Publication of Sexual Abuse,4.0
2023,Total,CYPO 11 - Restrictions on Reports of Proceedings in Juvenile Courts,1.0
2023,Total,,9673.0
