Year,Month,District,No of complaints
2017,,Ampara,208
2017,,Anuradapura,441
2017,,Badulla,198
2017,,Baticoloa,179
2017,,Colombo,1302
2017,,Galle,586
2017,,Gampaha,974
2017,,Hambanthota,310
2017,,Jaffna,188
2017,,Kaluthara,591
2017,,Kandy,382
2017,,Kegalle,286
2017,,Kilinochchi,126
2017,,Kurunegala,681
2017,,Mannar,69
2017,,Matale,200
2017,,Matara,316
2017,,Monaragala,226
2017,,Mulathivu,132
2017,,Nuwara Eliya,184
2017,,Polonnaruwa,245
2017,,Puttlum,403
2017,,Rathnapura,518
2017,,Trincomali,138
2017,,Vavuniya,131
2017,,Total,9014
2018,,Ampara,229
2018,,Anuradapura,434
2018,,Badulla,237
2018,,Baticoloa,189
2018,,Colombo,1330
2018,,Galle,617
2018,,Gampaha,1066
2018,,Hambanthota,361
2018,,Jaffna,207
2018,,Kaluthara,540
2018,,Kandy,420
2018,,Kegalle,349
2018,,Kilinochchi,104
2018,,Kurunegala,823
2018,,Mannar,69
2018,,Matale,210
2018,,Matara,346
2018,,Monaragala,224
2018,,Mulathivu,98
2018,,Nuwara Eliya,168
2018,,Polonnaruwa,246
2018,,Puttlum,440
2018,,Rathnapura,537
2018,,Trincomali,137
2018,,Vavuniya,131
2018,,Total,9512
2019,,Ampara,201
2019,,Anuradapura,487
2019,,Badulla,224
2019,,Baticoloa,166
2019,,Colombo,1167
2019,,Galle,537
2019,,Gampaha,888
2019,,Hambanthota,335
2019,,Jaffna,175
2019,,Kaluthara,478
2019,,Kandy,390
2019,,Kegalle,288
2019,,Kilinochchi,141
2019,,Kurunegala,726
2019,,Mannar,80
2019,,Matale,140
2019,,Matara,301
2019,,Monaragala,221
2019,,Mulathivu,122
2019,,Nuwara Eliya,177
2019,,Polonnaruwa,229
2019,,Puttlum,375
2019,,Rathnapura,471
2019,,Trincomali,133
2019,,Vavuniya,106
2019,,Total,8558
2020,,Colombo,1134
2020,,Gampaha,944
2020,,Kurunegala,627
2020,,Kaluthara,467
2020,,Galle,454
2020,,Rathnapura,454
2020,,Anuradapura,404
2020,,Puttlum,368
2020,,Hambanthota,366
2020,,Kandy,363
2020,,Matara,301
2020,,Kegalle,254
2020,,Badulla,243
2020,,Monaragala,226
2020,,Polonnaruwa,223
2020,,Ampara,192
2020,,Jaffna,174
2020,,NuwaraEliya,160
2020,,Baticoloa,159
2020,,Matale,136
2020,,Trincomali,120
2020,,Kilinochchi,119
2020,,Mulathivu,118
2020,,Vavuniya,92
2020,,Mannar,67
2020,,Total,8165
2021,,Ampara,230
2021,,Anuradapura,563
2021,,Badulla,250
2021,,Baticoloa,180
2021,,Colombo,2175
2021,,Galle,624
2021,,Gampaha,1088
2021,,Hambanthota,392
2021,,Jaffna,196
2021,,Kaluthara,658
2021,,Kandy,461
2021,,Kegalle,388
2021,,Kilinochchi,115
2021,,Kurunegala,789
2021,,Mannar,89
2021,,Matale,240
2021,,Matara,416
2021,,Monaragala,285
2021,,Mulathivu,133
2021,,NuwaraEliya,199
2021,,Polonnaruwa,268
2021,,Puttlum,463
2021,,Rathnapura,693
2021,,Trincomali,173
2021,,Vavuniya,119
2021,,Total,11187
2022,,Ampara,234
2022,,Anuradhapura,597
2022,,Badulla,277
2022,,Batticaloa,160
2022,,Colombo,1708
2022,,Galle,703
2022,,Gampaha,1027
2022,,Hambanthota,395
2022,,Jaffna,166
2022,,Kaluthara,585
2022,,Kandy,458
2022,,Kagalle,344
2022,,Kilinochchi,87
2022,,Kurunagala,791
2022,,Mannar,56
2022,,Matale,239
2022,,Matara,388
2022,,Monaragala,284
2022,,Mullaithivu,104
2022,,NuwaraEliya,195
2022,,Polonnaruwa,263
2022,,Puttalama,435
2022,,Rathnapura,652
2022,,Trincomalee,156
2022,,Vavuniya,81
2022,,All Island,112
2022,,Total,10497
2023,January,Ampara,20
2023,January,Anuradapura,34
2023,January,Badulla,16
2023,January,Baticoloa,12
2023,January,Colombo,112
2023,January,Galle,42
2023,January,Gampaha,74
2023,January,Hambanthota,24
2023,January,Jaffna,10
2023,January,Kaluthara,48
2023,January,Kandy,39
2023,January,Kagalle,23
2023,January,Kilinochchi,2
2023,January,Kurunagala,47
2023,January,Mannar,1
2023,January,Matale,15
2023,January,Matara,39
2023,January,Monaragala,12
2023,January,Mulathivu,6
2023,January,NuwaraEliya,9
2023,January,Polonnaruwa,17
2023,January,Puttalama,34
2023,January,Rathnapura,43
2023,January,Trncomali,13
2023,January,Vavuniya,6
2023,January,Unknown,63
2023,January,,761
2023,February,Ampara,17
2023,February,Anuradapura,47
2023,February,Badulla,21
2023,February,Baticoloa,15
2023,February,Colombo,100
2023,February,Galle,29
2023,February,Gampaha,73
2023,February,Hambanthota,30
2023,February,Jaffna,13
2023,February,Kaluthara,32
2023,February,Kandy,24
2023,February,Kagalle,32
2023,February,Kilinochchi,3
2023,February,Kurunagala,56
2023,February,Mannar,3
2023,February,Matale,14
2023,February,Matara,15
2023,February,Monaragala,23
2023,February,Mulathivu,5
2023,February,NuwaraEliya,12
2023,February,Polonnaruwa,18
2023,February,Puttalama,30
2023,February,Rathnapura,44
2023,February,Trncomali,13
2023,February,Vavuniya,6
2023,February,Unknown,28
2023,February,,703
2023,March,Ampara,22
2023,March,Anuradapura,59
2023,March,Badulla,28
2023,March,Baticoloa,15
2023,March,Colombo,143
2023,March,Galle,54
2023,March,Gampaha,92
2023,March,Hambanthota,40
2023,March,Jaffna,6
2023,March,Kaluthara,70
2023,March,Kandy,53
2023,March,Kagalle,29
2023,March,Kilinochchi,6
2023,March,Kurunagala,96
2023,March,Mannar,8
2023,March,Matale,25
2023,March,Matara,25
2023,March,Monaragala,37
2023,March,Mulathivu,8
2023,March,NuwaraEliya,23
2023,March,Polonnaruwa,28
2023,March,Puttalama,34
2023,March,Rathnapura,67
2023,March,Trncomali,6
2023,March,Vavuniya,6
2023,March,Unknown,46
2023,March,,1026
2023,April,Ampara,11
2023,April,Anuradapura,32
2023,April,Badulla,16
2023,April,Baticoloa,12
2023,April,Colombo,75
2023,April,Galle,30
2023,April,Gampaha,54
2023,April,Hambanthota,16
2023,April,Jaffna,7
2023,April,Kaluthara,28
2023,April,Kandy,33
2023,April,Kagalle,15
2023,April,Kilinochchi,4
2023,April,Kurunagala,47
2023,April,Mannar,4
2023,April,Matale,10
2023,April,Matara,17
2023,April,Monaragala,20
2023,April,Mulathivu,3
2023,April,NuwaraEliya,10
2023,April,Polonnaruwa,26
2023,April,Puttalama,30
2023,April,Rathnapura,50
2023,April,Trncomali,13
2023,April,Vavuniya,6
2023,April,Unknown,25
2023,April,,594
2023,May,Ampara,21
2023,May,Anuradapura,50
2023,May,Badulla,23
2023,May,Baticoloa,14
2023,May,Colombo,111
2023,May,Galle,50
2023,May,Gampaha,96
2023,May,Hambanthota,36
2023,May,Jaffna,18
2023,May,Kaluthara,51
2023,May,Kandy,37
2023,May,Kagalle,24
2023,May,Kilinochchi,4
2023,May,Kurunagala,74
2023,May,Mannar,4
2023,May,Matale,16
2023,May,Matara,28
2023,May,Monaragala,24
2023,May,Mulathivu,7
2023,May,NuwaraEliya,15
2023,May,Polonnaruwa,33
2023,May,Puttalama,43
2023,May,Rathnapura,51
2023,May,Trncomali,11
2023,May,Vavuniya,12
2023,May,Unknown,45
2023,May,,898
2023,June,Ampara,22
2023,June,Anuradapura,53
2023,June,Badulla,18
2023,June,Baticoloa,24
2023,June,Colombo,112
2023,June,Galle,38
2023,June,Gampaha,90
2023,June,Hambanthota,34
2023,June,Jaffna,14
2023,June,Kaluthara,51
2023,June,Kandy,38
2023,June,Kagalle,13
2023,June,Kilinochchi,8
2023,June,Kurunagala,76
2023,June,Mannar,2
2023,June,Matale,16
2023,June,Matara,28
2023,June,Monaragala,18
2023,June,Mulathivu,9
2023,June,NuwaraEliya,24
2023,June,Polonnaruwa,28
2023,June,Puttalama,28
2023,June,Rathnapura,57
2023,June,Trncomali,8
2023,June,Vavuniya,3
2023,June,Unknown,48
2023,June,,860
2023,July,Ampara,16
2023,July,Anuradapura,44
2023,July,Badulla,22
2023,July,Baticoloa,12
2023,July,Colombo,97
2023,July,Galle,62
2023,July,Gampaha,79
2023,July,Hambanthota,43
2023,July,Jaffna,13
2023,July,Kaluthara,36
2023,July,Kandy,36
2023,July,Kagalle,25
2023,July,Kilinochchi,4
2023,July,Kurunagala,69
2023,July,Mannar,4
2023,July,Matale,16
2023,July,Matara,34
2023,July,Monaragala,33
2023,July,Mulathivu,6
2023,July,NuwaraEliya,20
2023,July,Polonnaruwa,25
2023,July,Puttalama,48
2023,July,Rathnapura,50
2023,July,Trncomali,15
2023,July,Vavuniya,3
2023,July,Unknown,26
2023,July,,838
2023,August,Ampara,13
2023,August,Anuradapura,46
2023,August,Badulla,18
2023,August,Baticoloa,12
2023,August,Colombo,78
2023,August,Galle,42
2023,August,Gampaha,68
2023,August,Hambanthota,31
2023,August,Jaffna,5
2023,August,Kaluthara,54
2023,August,Kandy,28
2023,August,Kagalle,17
2023,August,Kilinochchi,3
2023,August,Kurunagala,52
2023,August,Mannar,6
2023,August,Matale,16
2023,August,Matara,23
2023,August,Monaragala,33
2023,August,Mulathivu,7
2023,August,NuwaraEliya,16
2023,August,Polonnaruwa,22
2023,August,Puttalama,30
2023,August,Rathnapura,53
2023,August,Trncomali,7
2023,August,Vavuniya,2
2023,August,Unknown,28
2023,August,,710
2023,September,Ampara,18
2023,September,Anuradapura,31
2023,September,Badulla,24
2023,September,Baticoloa,9
2023,September,Colombo,86
2023,September,Galle,32
2023,September,Gampaha,61
2023,September,Hambanthota,32
2023,September,Jaffna,10
2023,September,Kaluthara,39
2023,September,Kandy,30
2023,September,Kagalle,25
2023,September,Kilinochchi,3
2023,September,Kurunagala,78
2023,September,Mannar,2
2023,September,Matale,15
2023,September,Matara,27
2023,September,Monaragala,28
2023,September,Mulathivu,8
2023,September,NuwaraEliya,14
2023,September,Polonnaruwa,29
2023,September,Puttalama,32
2023,September,Rathnapura,37
2023,September,Trncomali,10
2023,September,Vavuniya,3
2023,September,Unknown,20
2023,September,,703
2023,October,Ampara,29
2023,October,Anuradapura,46
2023,October,Badulla,19
2023,October,Baticoloa,21
2023,October,Colombo,98
2023,October,Galle,52
2023,October,Gampaha,74
2023,October,Hambanthota,30
2023,October,Jaffna,14
2023,October,Kaluthara,48
2023,October,Kandy,28
2023,October,Kagalle,27
2023,October,Kilinochchi,7
2023,October,Kurunagala,52
2023,October,Mannar,6
2023,October,Matale,17
2023,October,Matara,24
2023,October,Monaragala,29
2023,October,Mulathivu,8
2023,October,NuwaraEliya,10
2023,October,Polonnaruwa,12
2023,October,Puttalama,34
2023,October,Rathnapura,48
2023,October,Trncomali,4
2023,October,Vavuniya,4
2023,October,Unknown,26
2023,October,,767
2023,November,Ampara,23
2023,November,Anuradapura,39
2023,November,Badulla,23
2023,November,Baticoloa,15
2023,November,Colombo,87
2023,November,Galle,55
2023,November,Gampaha,76
2023,November,Hambanthota,40
2023,November,Jaffna,18
2023,November,Kaluthara,56
2023,November,Kandy,43
2023,November,Kagalle,32
2023,November,Kilinochchi,6
2023,November,Kurunagala,61
2023,November,Mannar,4
2023,November,Matale,18
2023,November,Matara,27
2023,November,Monaragala,14
2023,November,Mulathivu,8
2023,November,NuwaraEliya,18
2023,November,Polonnaruwa,22
2023,November,Puttalama,29
2023,November,Rathnapura,53
2023,November,Trncomali,16
2023,November,Vavuniya,7
2023,November,Unknown,20
2023,November,,810
2023,December,Ampara,25
2023,December,Anuradapura,40
2023,December,Badulla,18
2023,December,Baticoloa,17
2023,December,Colombo,75
2023,December,Galle,55
2023,December,Gampaha,70
2023,December,Hambanthota,37
2023,December,Jaffna,10
2023,December,Kaluthara,35
2023,December,Kandy,35
2023,December,Kagalle,31
2023,December,Kilinochchi,2
2023,December,Kurunagala,52
2023,December,Mannar,6
2023,December,Matale,15
2023,December,Matara,28
2023,December,Monaragala,20
2023,December,Mulathivu,7
2023,December,NuwaraEliya,13
2023,December,Polonnaruwa,23
2023,December,Puttalama,24
2023,December,Rathnapura,45
2023,December,Trncomali,17
2023,December,Vavuniya,7
2023,December,Unknown,59
2023,December,,766
2023,Total,Ampara,237
2023,Total,Anuradapura,521
2023,Total,Badulla,246
2023,Total,Baticoloa,178
2023,Total,Colombo,1174
2023,Total,Galle,541
2023,Total,Gampaha,907
2023,Total,Hambanthota,18
2023,Total,Jaffna,138
2023,Total,Kaluthara,548
2023,Total,Kandy,424
2023,Total,Kagalle,293
2023,Total,Kilinochchi,52
2023,Total,Kurunagala,760
2023,Total,Mannar,50
2023,Total,Matale,193
2023,Total,Matara,315
2023,Total,Monaragala,291
2023,Total,Mulathivu,82
2023,Total,NuwaraEliya,184
2023,Total,Polonnaruwa,283
2023,Total,Puttalama,396
2023,Total,Rathnapura,598
2023,Total,Trncomali,133
2023,Total,Vavuniya,65
2023,Total,Unknown,434
2023,Total,,9436
